Data;Hora;Moeda;Qtd;Tipo;Status
2021-10-24;08:10:44;ADA;3335,0;SAÍDA;Para Carteira Externa
2021-10-25;01:00:48;USDT;18687,0194;SAÍDA;Para Carteira Externa
2021-10-27;12:43:40;USDT;19,2;ENTRADA;Origem Externa
2021-10-27;12:49:40;USDT;81,2;ENTRADA;Origem Externa
2021-10-28;21:47:44;USDT;5000,6646;SAÍDA;Para Carteira Externa
2021-10-29;15:27:04;ADA;20000,0;ENTRADA;Origem Externa
2021-10-29;15:34:32;ADA;20000,0;ENTRADA;Origem Externa
2021-10-29;15:47:40;ALGO;9883,0;SAÍDA;Para Carteira Externa
2021-10-29;16:07:42;USDC;20020,0;SAÍDA;Para Carteira Externa
2021-10-31;22:30:52;ADA;5001,0;SAÍDA;Para Carteira Externa
2021-10-31;22:40:44;ADA;14999,0;SAÍDA;Para Carteira Externa
2021-11-03;23:34:42;USDC;15025,006966;SAÍDA;Para Carteira Externa
2021-11-04;11:42:32;ADA;25010,0;ENTRADA;Origem Externa
2021-11-04;17:43:40;DOT;1,5;SAÍDA;Para Carteira Externa
2021-11-04;17:53:40;DOT;298,9;SAÍDA;Para Carteira Externa
2021-11-06;08:58:12;SOL;110,0;ENTRADA;Origem Externa
2021-11-08;12:40:52;BUSD;149,85;ENTRADA;Origem Externa
2021-11-08;17:28:44;USDT;10184,905;SAÍDA;Para Carteira Externa
2021-11-09;09:51:48;BNB;1,1005;SAÍDA;Para Carteira Externa
2021-11-09;11:30:14;BNB;1,09934347;ENTRADA;Origem Externa
2021-11-09;11:52:06;BNB;2,0;SAÍDA;Para Carteira Externa
2021-11-09;13:58:44;USDC;7800,0;SAÍDA;Para Carteira Externa
2021-11-10;14:59:40;SOL;42,5;ENTRADA;Origem Externa
2021-11-19;15:16:40;SOL;67,55;ENTRADA;Origem Externa
2021-11-19;19:42:40;EGLD;0,03;SAÍDA;Para Carteira Externa
2021-11-19;22:36:42;SOL;10,16;SAÍDA;Para Carteira Externa
2021-11-20;13:33:04;BNB;0,9995;SAÍDA;Para Carteira Externa
2021-11-20;13:41:06;BNB;18,0005;SAÍDA;Para Carteira Externa
2021-11-20;19:15:42;BUSD;10,0;SAÍDA;Para Carteira Externa
2021-11-20;19:23:42;BUSD;993,0;SAÍDA;Para Carteira Externa
2021-11-20;19:43:40;BUSD;30,0;SAÍDA;Para Carteira Externa
2021-11-21;15:37:44;BUSD;3850,0;SAÍDA;Para Carteira Externa
2021-11-21;22:23:42;BUSD;5600,0;SAÍDA;Para Carteira Externa
2021-11-23;16:12:40;LUNA;91,53;SAÍDA;Para Carteira Externa
